Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build,Year_Phone_Release,Month_Phone_Release,checker
Verizon,LG,V40 ThinQ,2019-06-21,2019-05-01,51,False,,2018,10,01
Verizon,LG,V40 ThinQ,2019-09-24,2019-08-01,54,False,,2018,10,01
Verizon,LG,V40 ThinQ,2019-11-01,2019-10-01,31,False,,2018,10,01
Verizon,LG,V50 ThinQ 5G,2019-07-16,2019-07-01,15,, V450VM10e V450VM10e,2019,5,01
Verizon,LG,V50 ThinQ 5G,2019-08-29,2019-08-01,28,False,,2019,5,01
Verizon,LG,V50 ThinQ 5G,2019-10-24,2019-10-01,23,False,,2019,5,01
Verizon,LG,Watch Urbane 2nd Edition,2016-12-19,2016-12-01,18,True,,2016,3,01
Verizon,LG,ZONE 4,2018-12-17,2018-11-01,46,False,,2018,3,01
Verizon,LG,ZONE 4,2019-01-23,2019-01-01,22,False,,2018,3,01
Verizon,LG,ZONE 4,2019-03-28,2019-03-01,27,False,,2018,3,01
Verizon,LG,ZONE 4,2019-05-28,2019-05-01,27,, X210VPP13a X210VPP13a,2018,3,01
Verizon,LG,ZONE 4,2019-07-17,2019-07-01,16,False,,2018,3,01
Verizon,LG,ZONE 4,2019-09-18,2019-09-01,17,False,,2018,3,01
Verizon,LG,ZONE 4,2019-12-11,2019-11-01,40,False,,2018,3,01
Verizon,Motorola,DROID MAXX 2,2018-02-08,2017-12-01,69,False,,2015,10,01
Verizon,Motorola,Droid Mini,2016-05-05,2016-05-01,4,True,,2013,8,01
Verizon,Motorola,Droid Turbo,2017-03-01,2017-02-01,28,True,,2014,10,06
Verizon,Motorola,Droid Turbo,2017-03-01,2017-03-01,0,True,,2014,10,01
Verizon,Motorola,Droid Turbo 2,2017-11-16,2017-08-01,107,False,,2015,10,01
Verizon,Motorola,Droid Turbo 2,2017-11-16,2017-10-01,46,False,,2015,10,01
Verizon,Motorola,Moto G4 Play,2018-03-23,2018-03-01,22,False,,2016,8,01
Verizon,Motorola,Moto G4 Play,2018-05-29,2018-04-01,58,False,,2016,8,01
Verizon,Motorola,Moto G4 Play,2018-05-29,2018-05-01,28,, NPI26.48-43 NPI26.48-43,2016,8,01
Verizon,Motorola,Moto G4 Play,2018-06-28,2018-06-01,27,False,,2016,8,01
Verizon,Motorola,Moto X,2016-05-16,2016-05-01,15,True,,2013,8,01
Verizon,Motorola,Moto X (2nd Gen.),2016-11-18,2016-11-01,17,True,,2014,9,06
Verizon,Motorola,Moto Z (2) Force,2018-11-30,2018-11-01,29,False,,2017,8,01
Verizon,Motorola,Moto Z (2) Force,2019-01-23,2019-01-01,22,False,,2017,8,01
Verizon,Motorola,Moto Z (2) Force,2019-04-30,2019-02-01,88,False,,2017,8,01
Verizon,Motorola,Moto Z (2) Force,2019-07-29,2019-06-01,58,False,,2017,8,01
Verizon,Motorola,Moto Z (2) play,2018-12-27,2018-12-01,26,False,,2017,6,01
Verizon,Motorola,Moto Z (2) play,2019-02-22,2019-02-01,21,False,,2017,6,01
Verizon,Motorola,Moto Z (2) play,2019-08-21,2019-06-01,81,False,,2017,6,01
Verizon,Motorola,Moto Z Droid Edition,2018-06-18,2018-05-01,48,False,,2016,9,01
Verizon,Motorola,Moto Z Droid Edition,2018-07-25,2018-07-01,24,False,,2016,9,01
Verizon,Motorola,Moto Z Droid Edition,2018-11-09,2018-09-01,69,False,,2016,9,01
Verizon,Motorola,Moto Z Force Droid Edition,2018-06-18,2018-05-01,48,False,,2016,9,01
Verizon,Motorola,Moto Z Force Droid Edition,2018-07-25,2018-07-01,24,False,,2016,9,01
Verizon,Motorola,Moto Z Force Droid Edition,2018-11-09,2018-09-01,69,False,,2016,9,01
Verizon,Motorola,Moto Z Play Droid Edition,2018-07-03,2018-06-01,32,False,,2016,9,01
Verizon,Motorola,Moto Z Play Droid Edition,2018-09-06,2018-08-01,36,False,,2016,9,01
Verizon,Motorola,Moto Z Play Droid Edition,2018-09-06,2018-09-01,5,, ODN27.76-12-30-8 ODN27.76-12-30-8,2016,9,01
Verizon,Motorola,Moto Z Play Droid Edition,2018-10-09,2018-10-01,8,, ODN27.76-12-30-8-1 ODN27.76-12-30-8-1,2016,9,01
Verizon,Motorola,Moto e4,2018-04-03,2018-03-01,33,False,,2017,6,01
Verizon,Motorola,Moto e4,2018-04-03,2018-04-01,2,, NDQS26.69-64-2 NDQS26.69-64-2,2017,6,01
Verizon,Motorola,Moto e4,2018-05-31,2018-05-01,30,False,,2017,6,01
Verizon,Motorola,Moto e4,2018-07-25,2018-07-01,24,False,,2017,6,01
Verizon,Motorola,Moto e4 gold,2018-11-28,2018-11-01,27,False,,2017,6,01
Verizon,Motorola,Moto e4 gold,2019-02-18,2019-01-01,48,False,,2017,6,01
Verizon,Motorola,Moto e4 gold,2019-05-03,2019-02-01,91,,,2017,6,01
